Fevals,Best,Current,Mean range,Temperature
213,0.5992710022539655,-0.5514038499549131,1.0,0.6309573444801934
214,0.5992710022539655,-0.5569507914009759,1.0,0.6309573444801934
215,0.5992710022539655,-0.5205473871934712,1.0,0.6309573444801934
216,0.5992710022539655,-0.4360460620865618,1.0,0.6309573444801934
217,0.5992710022539655,-0.48246925224032056,1.0,0.6309573444801934
218,0.5992710022539655,-0.5350312743196305,1.0,0.6309573444801934
219,0.5992710022539655,-0.535953125823075,1.0,0.6309573444801934
220,0.5992710022539655,-0.5362383311207704,1.0,0.6309573444801934
221,0.5992710022539655,-0.5343691633246682,1.0,0.6309573444801934
222,0.5992710022539655,-0.5343691633246682,1.0,0.6309573444801934
223,0.5992710022539655,-0.5177051059417779,1.0,0.6309573444801934
224,0.5992710022539655,-0.5278659129467973,1.0,0.6309573444801934
225,0.5992710022539655,-0.47622582499562865,1.0,0.6309573444801934
226,0.5992710022539655,-0.5004586240603508,1.0,0.6309573444801934
227,0.5992710022539655,-0.48732524730608345,1.0,0.6309573444801934
228,0.5992710022539655,-0.48280184756770395,1.0,0.6309573444801934
229,0.5992710022539655,-0.5283224817094863,1.0,0.6309573444801934
230,0.5992710022539655,-0.5283385264394777,1.0,0.6309573444801934
231,0.5992710022539655,-0.5367888065427286,1.0,0.6309573444801934
232,0.5992710022539655,-0.5359743877430322,1.0,0.6309573444801934
233,0.5992710022539655,-0.5172742566346066,1.0,0.6309573444801934
234,0.5992710022539655,-0.5187915938259616,1.0,0.6309573444801934
235,0.5992710022539655,-0.5156028435972826,1.0,0.6309573444801934
236,0.5992710022539655,-0.49736675456736534,1.0,0.6309573444801934
237,0.5992710022539655,-0.5354113100613828,1.0,0.6309573444801934
238,0.5992710022539655,-0.5385932821584187,1.0,0.6309573444801934
239,0.5992710022539655,-0.5321812736430179,1.0,0.6309573444801934
240,0.5992710022539655,-0.5367270673401746,1.0,0.6309573444801934
241,0.5992710022539655,-0.5329906244552458,1.0,0.25118864315095807
242,0.5992710022539655,-0.5472442362945555,1.0,0.25118864315095807
243,0.5992710022539655,-0.5421930292934634,1.0,0.25118864315095807
244,0.5992710022539655,-0.5264928165101956,1.0,0.25118864315095807
245,0.5992710022539655,-0.5364562892754631,1.0,0.25118864315095807
246,0.5992710022539655,-0.5221000934635824,1.0,0.25118864315095807
247,0.5992710022539655,-0.5207245158032934,1.0,0.25118864315095807
248,0.5992710022539655,-0.5316423998993759,1.0,0.25118864315095807
249,0.5992710022539655,-0.45870204043809615,1.0,0.25118864315095807
250,0.5992710022539655,-0.4585177047094123,1.0,0.25118864315095807
251,0.5992710022539655,-0.4585177047094123,1.0,0.25118864315095807
252,0.5992710022539655,-0.4925406901970742,1.0,0.25118864315095807
253,0.5992710022539655,-0.5246836556433246,1.0,0.25118864315095807
254,0.5992710022539655,-0.4922982301450015,1.0,0.25118864315095807
255,0.5992710022539655,-0.4922982301450015,1.0,0.25118864315095807
256,0.5992710022539655,-0.47025617909687345,1.0,0.25118864315095807
257,0.5992710022539655,-0.5412188795377041,1.0,0.25118864315095807
258,0.5992710022539655,-0.5389331286352881,1.0,0.25118864315095807
259,0.5992710022539655,-0.4759902214441801,1.0,0.25118864315095807
260,0.5992710022539655,-0.48488179014626487,1.0,0.25118864315095807
261,0.5992710022539655,-0.5137316410761263,1.0,0.25118864315095807
262,0.5992710022539655,-0.5048189228058269,1.0,0.25118864315095807
263,0.5992710022539655,-0.5235195262948822,1.0,0.25118864315095807
264,0.5992710022539655,-0.568440395669294,1.0,0.25118864315095807
265,0.5992710022539655,-0.5657239326339636,1.0,0.25118864315095807
266,0.5992710022539655,-0.485970474342581,1.0,0.25118864315095807
267,0.5992710022539655,-0.4865344360085986,1.0,0.25118864315095807
268,0.5992710022539655,-0.4868902052443822,1.0,0.25118864315095807
269,0.5992710022539655,-0.4463997078428514,1.0,0.25118864315095807
270,0.5992710022539655,-0.5330329277441807,1.0,0.25118864315095807
271,0.5992710022539655,-0.5468950385048353,1.0,0.25118864315095807
